id,department_id,department,semester,day,period,subject_id,start_time,end_time,room,created_at
87b56f9e-6bd7-40c9-9752-fa664ad5ba86,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Monday,1,b47bbb5a-2456-4809-aea8-9988529da10a,9:00,9:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
42b9038d-1ad1-4227-8fc5-d3af2d778e55,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Monday,2,9709fd7e-4752-435d-89d1-4cdd6f398190,10:00,10:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
ed59a550-0a15-4e5e-9a1a-bc70a42cd3ec,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Monday,3,46ba1932-22c8-430a-bb9d-336ad7ffe9ad,11:00,11:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
2c1e784a-46da-494c-ad42-aa35ab746ca3,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Monday,4,e861c22e-feff-494b-a7f6-31ecce2a3e5b,12:00,12:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
4512e388-1984-43ae-bf29-5f372e2c0249,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Monday,5,e09d57ba-b52e-440d-8eae-236e3d720320,13:00,13:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
91a05c01-776f-4b9f-b1c8-93ca7f0f25c2,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Monday,6,b47bbb5a-2456-4809-aea8-9988529da10a,14:00,14:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
80f6b4f4-e19e-468b-a0c4-c38b5a008b6f,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Tuesday,1,b47bbb5a-2456-4809-aea8-9988529da10a,9:00,9:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
cffa7d7e-2a09-49dd-ae1a-c51d2b6de4a7,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Tuesday,2,9709fd7e-4752-435d-89d1-4cdd6f398190,10:00,10:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
bece79a1-9588-427c-a83a-cf4d4e852508,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Tuesday,3,46ba1932-22c8-430a-bb9d-336ad7ffe9ad,11:00,11:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
471ae407-ffed-4277-a89b-f0d16dc9db12,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Tuesday,4,e861c22e-feff-494b-a7f6-31ecce2a3e5b,12:00,12:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
040ca382-f073-47f0-a6c0-9c7cce3ed7f2,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Tuesday,5,e09d57ba-b52e-440d-8eae-236e3d720320,13:00,13:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
7dcbc1f6-b5c8-4000-87b1-4d62ab9cea1d,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Tuesday,6,b47bbb5a-2456-4809-aea8-9988529da10a,14:00,14:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
f34284fa-2dc8-4c06-a7e2-7059e11c9861,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Wednesday,1,b47bbb5a-2456-4809-aea8-9988529da10a,9:00,9:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
26c35b83-f7a3-4b39-967a-37db73f69ef2,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Wednesday,2,9709fd7e-4752-435d-89d1-4cdd6f398190,10:00,10:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
feaed3df-0070-4955-a712-c6971c5dce79,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Wednesday,3,46ba1932-22c8-430a-bb9d-336ad7ffe9ad,11:00,11:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
87805ba4-6dd1-4eac-9f71-7ed07dc14011,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Wednesday,4,e861c22e-feff-494b-a7f6-31ecce2a3e5b,12:00,12:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
1c7822e9-c5d0-4190-b82e-e6929fc150db,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Wednesday,5,e09d57ba-b52e-440d-8eae-236e3d720320,13:00,13:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
d7af3460-506d-4a2d-aff9-aeeb8b318e78,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Wednesday,6,b47bbb5a-2456-4809-aea8-9988529da10a,14:00,14:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
878eca0b-fd50-496c-8a8d-ae82463c2b15,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Thursday,1,b47bbb5a-2456-4809-aea8-9988529da10a,9:00,9:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
c191d981-727c-4436-acd4-6c34b7b59c24,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Thursday,2,9709fd7e-4752-435d-89d1-4cdd6f398190,10:00,10:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
90fe05b1-f87a-4d98-9477-1130f628ce66,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Thursday,3,46ba1932-22c8-430a-bb9d-336ad7ffe9ad,11:00,11:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
68ebabc1-9c56-46f4-8877-6e1e271db4f5,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Thursday,4,e861c22e-feff-494b-a7f6-31ecce2a3e5b,12:00,12:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
bc8b7bbb-1bdc-42d2-bfb6-aaeeef20f141,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Thursday,5,e09d57ba-b52e-440d-8eae-236e3d720320,13:00,13:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
3ea63f24-5f2a-41df-8376-aaeefb8bd011,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Thursday,6,b47bbb5a-2456-4809-aea8-9988529da10a,14:00,14:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
d64751c8-c76b-4dd7-b754-f2da8707c925,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Friday,1,b47bbb5a-2456-4809-aea8-9988529da10a,9:00,9:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
3d5cf039-5167-471a-b596-874d8e31f9b7,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Friday,2,9709fd7e-4752-435d-89d1-4cdd6f398190,10:00,10:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
f247b463-7c0e-4db5-b34d-cabcfadcb980,c3c1a8d8-ca97-4499-b728-3331d505079f,CSE,1,Friday,3,46ba1932-22c8-430a-bb9d-336ad7ffe9ad,11:00,11:50,Hall-CSE-101,2026-07-21T17:36:54.868Z
